date,iv_30d_atm,iv_3m_atm
2008-07-10,23.8432,23.3788
2008-07-11,25.5905,24.6517
2008-07-14,26.3383,25.1153
2008-07-15,26.109,25.3425
2008-07-16,22.673,23.0955
2008-07-17,22.2601,22.6593
2008-07-18,21.792,22.3608
2008-07-21,21.0476,21.8274
2008-07-22,19.0226,20.497
2008-07-23,19.3424,20.7935
2008-07-24,21.5349,22.3876
2008-07-25,20.7214,21.948
2008-07-28,22.5234,23.0033
2008-07-29,20.268,21.1606
2008-07-30,19.5518,20.3442
2008-07-31,21.2478,21.7227
2008-08-01,21.0228,21.8491
2008-08-04,21.938,22.3688
2008-08-05,19.4311,20.4812
2008-08-06,18.9683,20.1739
2008-08-07,20.0517,21.0202
2008-08-08,19.1716,20.6432
2008-08-11,19.3886,20.5304
2008-08-12,20.2724,21.3045
2008-08-13,20.2673,21.6004
2008-08-14,19.1599,20.6492
2008-08-15,18.4217,20.4012
2008-08-18,19.5837,21.3814
2008-08-19,19.9151,21.7279
2008-08-20,18.8964,21.127
2008-08-21,18.1507,20.7366
2008-08-22,17.2452,20.2475
2008-08-25,19.4695,21.4326
2008-08-26,19.0092,21.2253
2008-08-27,18.3464,20.6902
2008-08-28,17.8195,20.1436
2008-08-29,19.1638,21.1297
2008-09-02,20.4823,21.6877
2008-09-03,20.0504,21.4536
2008-09-04,22.4536,23.013
2008-09-05,21.4996,22.4041
2008-09-08,21.2789,21.8587
2008-09-09,24.1333,23.8509
2008-09-10,23.222,23.305
2008-09-11,23.8779,23.7108
2008-09-12,24.1689,23.7268
2008-09-15,28.4793,26.0566
2008-09-16,28.5594,25.8368
2008-09-17,32.0343,27.9293
2008-09-18,31.4193,27.1007
2008-09-19,28.8024,25.7715
2008-09-22,30.4403,27.4595
2008-09-23,31.5061,28.3075
2008-09-24,32.9094,28.9332
2008-09-25,30.7377,27.4677
2008-09-26,32.9811,28.3281
2008-09-29,45.2431,35.5351
2008-09-30,36.8096,31.1822
2008-10-01,37.5818,32.0977
2008-10-02,42.8266,35.3389
2008-10-03,40.6599,34.7272
2008-10-06,49.6357,38.5912
2008-10-07,48.8799,39.0269
2008-10-08,48.8786,41.2405
2008-10-09,55.1975,45.2236
2008-10-10,63.1339,50.1648
2008-10-13,49.2308,40.9308
2008-10-14,48.3275,41.0251
2008-10-15,56.8623,47.7959
2008-10-16,55.7999,46.2763
2008-10-17,58.6102,48.5282
2008-10-20,45.2785,40.7674
2008-10-21,47.098,41.3414
2008-10-22,60.8419,48.5076
2008-10-23,59.8346,48.6245
2008-10-24,69.7515,55.0996
2008-10-27,69.1327,55.7034
2008-10-28,57.1229,47.8024
2008-10-29,61.3002,50.7143
2008-10-30,55.3046,47.7084
2008-10-31,51.4375,46.6905
2008-11-03,47.5002,44.3287
2008-11-04,41.281,39.7178
2008-11-05,47.117,43.6028
2008-11-06,55.8469,49.4323
2008-11-07,49.2936,45.8192
2008-11-10,51.9068,46.9366
2008-11-11,53.9108,48.4094
2008-11-12,58.3232,52.1662
2008-11-13,51.2096,46.99
2008-11-14,57.8831,52.3048
2008-11-17,62.5977,54.8963
2008-11-18,61.4811,54.2082
2008-11-19,67.8971,59.1585
2008-11-20,73.1135,63.4509
2008-11-21,65.2019,58.4652
2008-11-24,56.512,52.1013
2008-11-25,55.629,51.8481
2008-11-26,49.6142,48.0086
2008-11-28,50.2316,48.0948
2008-12-01,59.9826,54.0622
2008-12-02,58.5219,53.7592
2008-12-03,56.8498,53.0691
2008-12-04,59.1937,55.1218
2008-12-05,54.1061,52.4841
2008-12-08,51.224,49.9842
2008-12-09,52.9233,51.5378
2008-12-10,50.5474,50.2494
2008-12-11,49.8117,50.1188
2008-12-12,49.8513,49.7699
2008-12-15,52.6422,51.4814
2008-12-16,46.8465,47.1081
2008-12-17,45.1909,46.6093
2008-12-18,43.0128,45.0154
2008-12-19,39.8099,41.7669
2008-12-22,41.0263,42.2613
2008-12-23,40.4539,41.9131
2008-12-24,40.3962,41.6417
